,id,premise,hypothesis,label
26,4561_ent,「第三版未刪節詞典」入面嘅定義，比起嗰個嚟講簡潔明瞭好多。,呢個術語喺之前嘅版本已經定義咗。,entailment
27,3399_non_ent,基本款嘅衫褲佔所有銷售嘅服裝商品都好大比例。,畢業舞會禮服佔銷售服裝商品嘅最大百分比。,not_entailment
28,1195_ent,有個男人舉起雙手，同佢個有鬍鬚嘅朋友講緊笑話。,啲人傾緊計。,entailment
29,2228_non_ent,一個男人同一個女人企喺一棟白色建築物前面，望住自己隻手。,兩個男人望住對方嘅手。,not_entailment
30,4490_ent,「呢個係我對嗰個男人嘅答案。」人面獅身像解釋道。,根據獅身人面像所講，呢個係佢畀人類嘅答案。,entailment
31,263_ent,個著藍衫嘅足球隊，開始喺個著紅衫嘅後衛面前反攻落場。,著藍衫嗰隊足球隊踢緊波。,entailment
32,6569_non_ent,呢個詞同概念係積·威廉臣喺1942年嘅故事《Seetee Ship》度提出嘅。,呢個概念完全係原創嘅。,not_entailment
33,4139_ent,請用隨函附上嘅回覆卡同已貼郵資嘅信封寄出你嘅捐款。,請用隨函附上嘅回覆卡同回郵信封捐款。,entailment
34,3127_non_ent,一個坐喺大象度，有張騎乘座墊嘅男人，同一個女遊客傾緊計。,有個男人坐喺駱駝上面。,not_entailment
35,2899_ent,幾個後生靚仔企喺露台度，激烈咁傾緊計。,「幾個後生仔喺度嘈交。,entailment
36,1471_non_ent,個左手邊嘅男人，頭髮黑色，戴住眼鏡；右手邊個男人頭髮有點灰白，冇戴眼鏡，雙手合十，兩個都笑緊。,呢啲人瞓覺喊緊。,not_entailment
37,1961_non_ent,有個男人喺度燒緊漢堡包。,個男人喺海底游緊泳。,not_entailment
38,6569_ent,呢個詞同概念係積·威廉臣喺1942年嘅故事《Seetee Ship》度提出嘅。,呢個概念嚟自個故事，Seetee Ship (1942)。,entailment
39,1471_ent,個左手邊嘅男人，頭髮黑色，戴住眼鏡；右手邊個男人頭髮有點灰白，冇戴眼鏡，雙手合十，兩個都笑緊。,班人笑緊。,entailment
40,4965_ent,總之就係一大堆嘢囉。,卷軸係一個好長嘅故事。,entailment
41,4733_ent,零售商有誘因去儲存大量貨品，因為佢哋想有足夠嘅貨品擺出嚟吸引顧客—空空如也嘅貨架唔吸引人—而且要有貨俾想買嘅人。,零售商想擺夠貨吸引顧客去佢哋間鋪。,entailment
42,5435_ent,每個班嘅捐款截止日期係七月三十一日。,7月31號之後就唔再接受捐款。,entailment
43,585_non_ent,一個著住蘇格蘭裙嘅男人掟咗支長棍出嚟。,有個男人喺田上面跳舞。,not_entailment
44,1741_ent,一個後生，著得好靚嘅黑人，坐喺一套鼓後面，仲笑緊。,有個男人笑緊。,entailment
45,6190_ent,省略號出現嘅地方，我無費事抄晒成個餐牌，淨係揀咗啲我覺得奇怪嘅嘢，因為選擇嘅不協調，或者係我無論點樣憑空想像，都估唔到佢哋點樣揀呢啲嘢出嚟。,呢啲選擇當中，有啲真係幾難明。,entailment
46,960_non_ent,一個男人揸住電單車喺條爛路上面行，經過路邊幾架廢車。,有個男人喺行人路度行緊。,not_entailment
47,3827_ent,呢段時間都好忙，因為我哋有份好進取嘅增長同發展計劃。,「我哋擴展同發展嘅計劃令呢段時間好忙。」,entailment
48,5340_non_ent,「因為，唉，唔係，依尼斯當時爭論緊話——當佢同佢講嘅時候，唔，佢話，嗯，路易斯·阿隆索，我可能就快死啦，佢話，因為失血太多，佢話。」,佢話自己絕對唔會死於失血。,not_entailment
49,5941_ent,而家啲細路仔仲更加需要你嘅領導。,啲小朋友需要啲指引。,entailment
50,6300_ent,我鍾意呀！,我真係好鍾意呀！,entailment
51,4019_ent,「我哋住喺中間，住喺洪都拉斯同薩爾瓦多嘅邊境之間。,「我哋住喺洪都拉斯同薩爾瓦多嘅邊境之間。,entailment
52,5527_ent,喺想像世界入面，Alison 喺呢個多步驟過程嘅第一步做咗實驗，佢將印度火車意外嘅新聞同埋佢面前嘅玩具救護車融合埋一齊。,Alison 將火車意外嘅新聞同架玩具救護車融合埋一齊。,entailment
53,4650_ent,架飛機冇反應。,航班冇反應。,entailment
54,3787_ent,「好啦，我估係咁。」,係呀，我當時幾乎毫無疑問咁覺得係咁。,entailment
55,4139_non_ent,請用隨函附上嘅回覆卡同已貼郵資嘅信封寄出你嘅捐款。,我哋冇夾回郵卡或者回郵信封。 ,not_entailment
56,2464_ent,兩個男人睇緊一個男人喺體育中心嘅片場度打高爾夫球。,啲人睇緊體育比賽。,entailment
57,5473_non_ent,「嗯，我好鍾意呢個區，呢度發展得好快，而且我想住近啲屋企人，方便我照顧佢哋，尤其係佢哋年紀大咗嘅時候。」,我真係好憎住喺呢度，最好可以搬遠啲，唔好咁近啲親戚。,not_entailment
58,496_ent,一架藍色貨車載住幾個人同好多雜物，喺沙漠公路上面行駛。,架貨車係咁揸緊。,entailment
59,3450_non_ent,對Miyares嚟講，搵份有意義又有效率嘅工好難。,Miyares 喺佢做嘅工作入面一直都好開心。,not_entailment
60,2464_non_ent,兩個男人睇緊一個男人喺體育中心嘅片場度打高爾夫球。,啲人喺條路度行緊。,not_entailment
61,4965_non_ent,總之就係一大堆嘢囉。,卷軸好短好簡潔。,not_entailment
62,683_non_ent,一個女仔馬拉松跑手，戴住紅色頭帶，著住紅色背心同黑色短褲，喺一條鋪咗石屎嘅路上慢跑。,兩個女人喺酒吧度玩臂力比賽。,not_entailment
63,3127_ent,一個坐喺大象度，有張騎乘座墊嘅男人，同一個女遊客傾緊計。,一個人騎住一隻好大嘅動物。,entailment
64,4256_non_ent,如果存貨持有成本越高，將更多生產轉移到快速生產線工廠就越有利可圖，從而減少在制品和製成品庫存。,生產唔可以轉移嚟操控盈利水平。,not_entailment
65,5527_non_ent,喺想像世界入面，Alison 喺呢個多步驟過程嘅第一步做咗實驗，佢將印度火車意外嘅新聞同埋佢面前嘅玩具救護車融合埋一齊。,愛麗森唔明咩係火車相撞。,not_entailment
66,3399_ent,基本款嘅衫褲佔所有銷售嘅服裝商品都好大比例。,賣出嘅服裝商品，有相當大嘅比例係基本款。 ,entailment
67,1575_non_ent,一個男人喺空曠嘅田野度試驗模型飛機。,個男人喺度剪草坪。,not_entailment
68,4490_non_ent,「呢個係我對嗰個男人嘅答案。」人面獅身像解釋道。,獅身人面像拒絕作出任何解釋。,not_entailment
69,263_non_ent,個著藍衫嘅足球隊，開始喺個著紅衫嘅後衛面前反攻落場。,一支足球隊喺更衣室傾吓計。,not_entailment
70,5055_non_ent,「九點十六分冇劫機報告。」,到咗朝早九點十六分，已經有幾宗劫機案要報告。,not_entailment
71,1559_ent,一個皮膚黝黑嘅人，蹲低咗係度畫招牌。,有人喺度畫畫。,entailment
72,3787_non_ent,「好啦，我估係咁。」,我對呢樣嘢好驚訝，我之前完全估唔到。,not_entailment
73,5790_ent,「但係，我哋聽好多關於屋企以前點樣嘅嘢，同埋好似我講過咁，以前要行五哩路返學，同埋——」,我哋成日都講以前點樣點樣。,entailment
74,5790_non_ent,「但係，我哋聽好多關於屋企以前點樣嘅嘢，同埋好似我講過咁，以前要行五哩路返學，同埋——」,我哋聽都未聽過以前係點樣嘅。,not_entailment
75,5435_non_ent,每個班嘅捐款截止日期係七月三十一日。,捐款係冇期限嘅。,not_entailment
76,3827_non_ent,呢段時間都好忙，因為我哋有份好進取嘅增長同發展計劃。,呢排悶到呢，成日都係咁。,not_entailment
77,1420_ent,一個藝術家喺街頭擺檔賣佢嘅作品。,有人賣緊畫。 ,entailment
78,3912_non_ent,「細路仔開始識講嘢嗰陣，佢哋最關心嘅係講人哋做咩嘢，同埋佢哋行為嘅後果。」,幼兒對講大人做緊咩嘢完全冇興趣。,not_entailment
79,1195_non_ent,有個男人舉起雙手，同佢個有鬍鬚嘅朋友講緊笑話。,兩個男人划住艇出海。,not_entailment
80,5941_non_ent,而家啲細路仔仲更加需要你嘅領導。,啲細路而家知自己做緊乜嘢啦，,not_entailment
81,4733_non_ent,零售商有誘因去儲存大量貨品，因為佢哋想有足夠嘅貨品擺出嚟吸引顧客—空空如也嘅貨架唔吸引人—而且要有貨俾想買嘅人。,零售商冇誘因用庫存吸引顧客，所以高庫存量就變得無關重要。,not_entailment
82,4956_ent,「總統同副總統話畀我哋知，佢哋唔知原來係應秘密服務處嘅要求，而且係繞過咗軍事指揮鏈，有戰鬥機由安德魯斯基地緊急起飛。」,領導層唔知有啲戰機已經由安德魯斯基地緊急起飛。,entailment
83,5055_ent,「九點十六分冇劫機報告。」,截至九點十六分，都未有劫機報告。,entailment
84,3167_ent,兩個人用水牛耕田。,有兩個人喺出面同啲動物一齊。,entailment
85,6303_non_ent,不過，呢個部門就設立咗聯合部隊司令部，設喺弗吉尼亞州嘅諾福克，負責應對國內嘅緊急事故，不論係自然災害定係人為災害。,新總統上任後，部門取消咗維珍尼亞州嘅聯合部隊司令部。,not_entailment
86,5868_ent,北卡羅來納州？,關北卡羅來納州事？,entailment
87,6303_ent,不過，呢個部門就設立咗聯合部隊司令部，設喺弗吉尼亞州嘅諾福克，負責應對國內嘅緊急事故，不論係自然災害定係人為災害。,部門喺維珍尼亞州設立聯合部隊司令部，協助陸軍更有效應對颶風。,entailment
88,5712_ent,但係，將一個性別已知嘅人稱為主席係明顯荒謬嘅。「主席」應該係指主席嘅職位，而唔係指擔任呢個職位嘅人。,叫一個已知性別嘅人做主席，真係唔太聰明。,entailment
89,4956_non_ent,「總統同副總統話畀我哋知，佢哋唔知原來係應秘密服務處嘅要求，而且係繞過咗軍事指揮鏈，有戰鬥機由安德魯斯基地緊急起飛。」,「總統話佢完全知啲戰機已經升空。」,not_entailment
90,1559_non_ent,一個皮膚黝黑嘅人，蹲低咗係度畫招牌。,一個白人男人正在油漆佢間屋。 ,not_entailment
91,6300_non_ent,我鍾意呀！,我真係好憎呀。,not_entailment
92,496_non_ent,一架藍色貨車載住幾個人同好多雜物，喺沙漠公路上面行駛。,架貨車停咗不動。,not_entailment
93,1420_non_ent,一個藝術家喺街頭擺檔賣佢嘅作品。,有人喺度向人乞錢。,not_entailment
94,2677_ent,兩個女人喺按摩浴缸裡面輕鬆吓。,幾個女人喺熱水浴缸到。,entailment
95,5718_non_ent,但即使冇呢啲資料，佢都好肯定會明，93 號航班由紐華克機場延遲起飛，所以世貿中心嘅襲擊已經發生咗。,「同佢哋一齊嘅時候，佢唔知世貿中心嘅襲擊事件根本就未發生過。」,not_entailment
96,5868_non_ent,北卡羅來納州？,對抗北卡羅來納州？,not_entailment
97,5473_ent,「嗯，我好鍾意呢個區，呢度發展得好快，而且我想住近啲屋企人，方便我照顧佢哋，尤其係佢哋年紀大咗嘅時候。」,我好鍾意呢個地方，我比較想住近啲屋企人。,entailment
98,6176_non_ent,據報無人收到任何重大回應。,佢哋收到回覆啦。,not_entailment
99,3167_non_ent,兩個人用水牛耕田。,有兩個人喺健身室游緊泳。,not_entailment
