id,target,sentence1,sentence2,label
398,當我,當我開始覺得係咪有返機會時，又話都係朋友。,對唔住呀，我知我之前講過嘅嘢，就當我冇講過啦。,not_similar
127,𠺘,記得𠺘乾淨個口。,呢啲題目你唔使讀得太深入，大概知個𠺘就得㗎喇。,not_similar
109,點,個面試點啊？,呢件事应该点做，你谂真啲。,similar
15,㨢,一纊㨢鎖匙。,乜你一抽二㨢噉呀？快啲入嚟坐。,similar
285,㗎啦,咁早就瞓觉㗎啦？,我哋穷人都系天生天养㗎啦。,not_similar
9,櫼,瘦仔表示好介意用自己條竹櫼腳對比啲小腿粗女會覺得好似象腿。,拎枝牙櫼嚟撩牙。,similar
28,冇,你冇女朋友？梗系唔信啦！……或者有。你唔知啫。,你份人冇啲同情心㗎！,similar
544,點,個面試點啊？,佢想點都好，唔好麻煩到我就得。,not_similar
236,禁,呢种电池好禁。,身子好嘅人禁冷又禁热。,not_similar
70,新地,我個角色升級之後，開咗個新地圖出嚟。,雖然無新地，但將爛地變成人用得嘅地，都算係新填地嘅一種。,similar
523,撠,呢个人都几恶撠㗎。,你伸隻腳出嚟想撠死人咩！,not_similar
80,當我,嗰陣當我無搵佢幾日之後，我地再傾返計。,當我開始覺得係咪有返機會時，又話都係朋友。,similar
155,㨢,隻狗條頸㨢住條繩。,兩公婆㨢住個仔一齊返鄉下。,not_similar
84,㷫,佢㷫起嚟一气唱咗十几只歌。,佢一㷫起嚟就几好嘅。,similar
29,冇,落雨冇办法打波，唔知几吊瘾。,佢几个月都冇嚟。,similar
8,㗎,日本卡通來㗎？,講廣東話㗎？,similar
192,冇,呢處有燈冇？開下燈睇下啦。,冇啊，咪又系咁，简简单单又一日。,not_similar
97,咁,妳幾時變到咁成熟㗎？,咁耐冇見，應該好多嘢傾。,similar
253,禁,乜而家中學已經冇左髮禁？,十年咁耐，禁等咯。,not_similar
68,𢺳,下半场一定要将啲分𢺳翻。,最后又𢺳翻几分？,similar
93,咁,你咁讲就唔公平喇。,所以我一直都冇咁做。,similar
48,岌,嗰张凳𢳆𢳆岌噉，边个敢坐？,風吹度門岌得好犀利。,similar
457,咁,所以我一直都冇咁做。,趁住有啲钱，快啲还咁啲利息。,not_similar
59,冧,佢收到男朋友送嘅花，成个样冧晒。,佢成日𥄫實你，仲唔係冧你？,similar
34,西北風,阿松佢唔识煮饭又冇嗮杯面，今晚实系食西北风啦。,等揭不開鍋，大人孩子喝西北風去！,similar
105,嗱,嗱，送畀你㗎！,嗱，呢啲利是系舅公畀你责年嘅。,similar
419,㷫,佢㷫起嚟一气唱咗十几只歌。,俾啲牛油同埋哩個蠟燭㷫住嘅。,not_similar
221,油瓶,採用重力設計嘅油瓶，傾斜時自動打開，不會溢出，抬起時自動關閉。,油瓶仔女係繼親嘅一種，書面語叫繼子女，係兩公婆嘅後代，但係冇血緣關係，亦唔係通過領養拎返嚟。,not_similar
20,冚,你冚住張氈都凍呀？,一個大浪冚埋嚟。,similar
87,嘥,唔应该嘥人哋。,畀人当面嘥。,similar
5,𠺘,記得𠺘乾淨個口。,有时候就算冇热水都要𠺘几嘢。,similar
182,唔,唔...不如去嗰間餐廳吖！,出面冻唔冻？,not_similar
94,咁,好似会好多人咁。,佢就會剪到一層層咁樣。,similar
283,㗎啦,你哋咁快就做完㗎啦？,我哋穷人都系天生天养㗎啦。,not_similar
438,嘥,嘥咗好多时间。,咁好嘅机会嘥咗。,not_similar
499,咁,咁呀，聽日先算囉。,妳幾時變到咁成熟㗎？,not_similar
126,咩,唔用得𡃉咩，啲郵票？,嗰陣時好似有咩龍船啊。,not_similar
81,當我,你當我傻架?,佢喺街度見到我都當我冇到。,similar
223,𦧲,張糖紙唔食得㗎，快啲𦧲返出嚟啦！,细佬成日都𦧲我去同佢食雪糕。,not_similar
79,𨂾,𨂾日见一次面。,我通常𨂾一個禮拜去健身房一次。,similar
37,油瓶,舊時茶樓食嘅燒賣，其實都都幾大隻，佢重有個花名叫做油瓶枳。,採用重力設計嘅油瓶，傾斜時自動打開，不會溢出，抬起時自動關閉。,similar
212,西北風,西北風係由西北吹來嘅風。,等揭不開鍋，大人孩子喝西北風去！,not_similar
251,禁,呢个国家禁咗香口胶㗎。,十年咁耐，禁等咯。,not_similar
468,咁,你咁讲就唔公平喇。,𠮶碌棍好似青瓜咁粗。,not_similar
35,𧨾,奀咕咕，姐姐你唔好嬲啦，𧨾返𧨾返！,佢今日好唔開心呀，我要諗辦法𧨾返佢至得。,similar
369,啹,我家姐上年年尾俾人無理炒魷，覺得好唔啹。,頭先搬嘢又熱又攰，飲完杯嘢成個人啹晒！,not_similar
230,繑,嘩，你寫嗰啲代碼，好似麵條噉繑埋一嚿嘅。,佢畀嗮啲嘢你做，你忙到踢嗮腳嗰陣佢仲可以繑埋雙手䟴䟴腳等你幫佢做埋，唔通噉樣真係對佢好咩？,not_similar
327,落台,即係而家已經冇人有能力拉到佢落台?,未讲得几句就畀人闹咗落台。,not_similar
225,𦧲,食鱼要𦧲骨。,细佬成日都𦧲我去同佢食雪糕。,not_similar
390,𨂾,你喺醫院住咗咁耐，入屋企門口之前要𨂾過火盆先。,我通常𨂾一個禮拜去健身房一次。,not_similar
31,眼矇矇,睇清楚先啦眼矇矇咁。,瞓到眼矇矇嘅我原本諗住問佢而家幾點，但係把口就問咗個唔同嘅問題。,similar
24,唔,佢噚晚唔夠瞓，搞到今日失晒魂。,今晚我唔喺屋企食飯。,similar
21,冚,我自己儲，冚唪唥一路收返起晒。,冚世界都走晒，你做咩仲喺度呀？,similar
325,炮,噉嘅大炮你都信？,唔好咁大炮咯。,not_similar
294,摵,你仲趴喺地下度，我就摵你起身。,好多人食包嗰陣都會先摵咗表面嗰層薄皮然後先再食入面啲叉燒。,not_similar
4,咩,美國餐有咩好食啫。,嗰陣時好似有咩龍船啊。,similar
106,嗱,嗱，都叫咗你唔好食得咁急㗎啦。,好啦！嗱，一次咋㖞，冇下次㗎㖞。,similar
58,冧,佢真系好易醉，饮多两杯啤酒就冧咗喇。,佢哋夾埋隊冧咗個同事。,similar
12,抰,你唔抰开嚟点睇得真呢？,件衫好多尘，抰吓佢干净啲。,similar
99,嚫,打嚫畀佢都唔接電話。,阿明次次飲嚫酒都會出事。,similar
108,睩,睩大只眼睇清楚，上面写明唔可以退款。,對你有好感會成日眼睩睩咁望住。,similar
100,嚫,畀蚊咬嚫，痕到死。,我跌嚫，个膝头哥损咗。,similar
412,㷫,一讲到呢样佢就㷫嘞。,隻手冰凍，響火爐㷫下。,not_similar
158,㨢,聖誕節㨢住新年，總共有十日假。,一张票可以㨢两个细蚊仔。,not_similar
525,撠,你份人真系好撠啊，一啲都唔识变通嘅。,你伸隻腳出嚟想撠死人咩！,not_similar
222,油瓶,採用重力設計嘅油瓶，傾斜時自動打開，不會溢出，抬起時自動關閉。,又唔係油瓶仔怕咩?,not_similar
10,櫼,呢条罅要櫼实佢先至得。,榫頭鬆了就加個櫼。,similar
45,禁,我唔禁激㗎。,身子好嘅人禁冷又禁热。,similar
33,西北風,西北風係由西北吹來嘅風。,西北風有呢個威力都好勁啦。,similar
46,禁,十年咁耐，禁等咯。,贵利唔能够借㗎，利沓利，好禁还㗎。,similar
26,唔,你可唔可以车我去地铁站呀？,出面冻唔冻？,similar
41,繑,我個耳筒繑埋咗一嚿。,嘩，你寫嗰啲代碼，好似麵條噉繑埋一嚿嘅。,similar
51,㗎啦,你哋咁快就做完㗎啦？,咁早就瞓觉㗎啦？,similar
85,㷫,你个额头好㷫，系唔系发烧呀？,如果你摸落去重係㷫嘅話呢，即係其實你係未好返𡃉啝。,similar
102,撠,呢个人都几恶撠㗎。,你份人真系好撠啊，一啲都唔识变通嘅。,similar
470,咁,所以我一直都冇咁做。,𠮶碌棍好似青瓜咁粗。,not_similar
488,咁,趁住有啲钱，快啲还咁啲利息。,你一個人住喺香港呀？咁你有冇掛住屋企人啊？,not_similar
114,啲,但我知有哩啲嘢睇。,好似幾靚喎啲風景。,not_similar
103,撠,你伸隻腳出嚟想撠死人咩！,佢撠咗吓，就躀低咗。,similar
190,冇,聽朝先陪你飲茶啦，好冇？,佢几个月都冇嚟。,not_similar
