id,source_id,sentence,label,human_label,notes
2020,1012,美國體操協會支持獨立調查，呢項調查可能會揭露拉利·纳沙嘅倖存者幾咁勇敢講述有幾大比例嘅虐待長期都未畀人發現，協會亦歡迎任何必要和適當嘅改變。,1,,
2021,1012,美國體操支持一個獨立嘅調查 能夠揭示 拉里·納薩嘅幸存者勇敢咁描述嘅比例嘅濫用 點樣長時間未被發現,0,,
2086,1226,波特羅當時接受咗肩部治療，諗住返到賽場繼續比賽。,1,,
2087,1226,Potro 喺呢一刻接受咗肩部治療 但佢返返去遊戲,0,,
566,285,拉脫維亞同斯洛伐克都延遲加入 ACTA 嘅進程。,1,,
567,285,拉脱維亞同斯洛伐克都延遲加入 ACTA 過程,1,,
2626,1496,次文化將一班志同道合嘅個體聚集起嚟，佢哋感到被社會標準無視，而次文化亦可以俾佢哋發展出身份認同感。,1,,
2627,1496,副文化將同志嘅人聚集在一起 認為社會標準忽視佢哋,0,,
1482,743,雖然庫克群島冇任何城市，但係由15個唔同嘅島嶼組成。主要嘅島嶼有拉羅湯加同艾圖塔基。,1,,
1483,743,科克島島冇城市 但由15個唔同島組成.其中主要係拉羅東加同愛圖塔基.,0,,
1634,819,當你旅遊嘅時候，唔使望一切都好似「返鄉下」噉。禮儀、法律、食物、交通、住宿、標準、語言等等都會喺某程度上同你住嘅地方唔同。,1,,
1635,819,"當你去旅行時,你會期望事情唔會好似你""返屋企""咁.",0,,
2390,1378,滄龍係佢哋嗰個時代嘅頂尖掠食者，所以除咗其他滄龍之外，佢哋咩都唔怕。,1,,
2391,1378,莫薩索魯斯係當時最強嘅獵物 所以除其他莫薩索魯斯之外 他無怕任何嘢,0,,
1754,879,好多國家政府要求入境旅客或離境國民接種針對一系列疾病疫苗。,1,,
1755,879,好多政府要求 嚟入或者離開國家嘅旅客 接种疫苗,0,,
2394,1380,我哋唔確定，但佢可能有條分叉嘅脷。佢食嘅嘢包括海龜、大型魚類、其他滄龍，甚至可能同類相殘。,1,,
2395,1380,"我哋唔清楚 但佢可能有叉舌頭 佢嘅飲食包括魚,大魚,其他馬薩索爾 甚至可能係食肉動物",0,,
1076,540,增援前線嘅部隊包括，約翰·斯塔克上校同詹姆斯·里德上校（兩人後嚟都晉升將軍）麾下由200人組成嘅新罕布什爾州第1同第3軍團。,1,,
1077,540,"軍隊加強前線位置包括 200 名新罕布什爾一號和第三個軍團,由 John Stark 和 James Reed 校長 (後來兩個成為將軍) 領導.",0,,
2206,1286,鄧迪大學嘅帕梅拉·弗格遜教授指出：「如果記者發佈疑犯相片，似乎係喺度行緊鋼線一樣。」,1,,
2207,1286,"丹迪大學嘅教授帕梅拉·弗格森指出""記者如果發佈疑犯嘅相等,",0,,
2760,1660,虛擬團隊同傳統團隊嘅卓越標準係相同嘅，但係有住細微嘅差別。,1,,
2761,1660,虛擬團隊同傳統團隊一樣 保持同樣嘅卓越標準 但有微妙嘅差異,1,,
1010,507,佢可以自訂，令到閱讀更簡單，亦都可以根據需要增減顏色。,1,,
1011,507,可以定制 令人容易閱讀 又可以用多或少顏色,0,,
2790,1675,雖然人工智能有強烈嘅科幻小說意味，但係人工智能形成咗電腦科學嘅一個非常重要嘅分支，牽涉到機器中嘅行為、學習同智能適應。,1,,
2791,1675,"雖然人工智能具有科學小說嘅強烈含義,但人工智能形成了電腦科學嘅一個非常重要的分支,處理機器中的行為,學習和智能適應.",1,,
1084,544,美國嘅計劃係從三個唔同嘅方向發動協同攻擊。,1,,
1085,544,美國計劃依賴於從三個不同方向發起編排嘅攻擊,0,,
584,294,「魯諾」號發生故障嗰陣，船上有120至160立方米嘅燃料，強風巨浪將佢推入防波堤。,1,,
585,294,"當船崩潰時, 魯諾有120~160立方米嘅燃料",0,,
1878,941,當你熟悉咗網絡上嘅格式同編輯方法之後，你就可以建立自己嘅網站。,1,,
1879,941,當你開始喺網上編輯同編輯之後 你就會開始建立你自己嘅網站,0,,
1620,812,一日遠足嘅距離可以從唔到一英哩到一日之內可以行完嘅更長距離不等。,1,,
1621,812,日日徒步行涉及距离不到一英里 到可以在一天内行走的更长距离,0,,
2044,1205,聯合國疾病專家丹妮爾·蘭塔尼表示，疫情爆發可能係因為維和部隊造成嘅。,1,,
2045,1205,聯合國呢個病專家 Danielle Lantagne 表示 疫情可能係由和平部隊造成嘅,0,,
870,437,相傳扎卜德龍·恩加旺·南蓋爾喺 1649 年建造咗呢個堡壘，嚟到紀念佢打敗西藏蒙古聯軍。,1,,
871,437,"據說 1649 年,Zhabdrung Ngawang Namgyel 建立咗呢個堡垒",0,,
1288,646,我哋目前喺所有DIY、資訊呈現、以學習為本嘅電視節目方面嘅經驗就講明咗呢一點。,1,,
1289,646,我哋目前有所有做自己同資訊展示嘅 學習型電視節目嘅經驗 證明咗呢個點,0,,
2322,1344,氫離子係電子被剝離嘅質子（因為氫原子由一個質子同一個電子組成）。,1,,
2323,1344,離子係被取消電子嘅陽子 (因為原子由一個陽子同一個電子組成).,0,,
864,434,盧森堡一直想保持中立國角色，不過佢喺第一次世界大戰同第二次世界大戰嗰陣，都曾經俾德國佔領。,1,,
865,434,盧森堡一直嘗試保持中立 但喺第一次世界大戰同第二次世界大戰中 都被德國佔領,0,,
270,137,魚類經常因為水入面嘅毒素濃度太高而死亡。,1,,
271,137,魚經常因為毒素濃度高而死亡,0,,
1096,550,冬季嘅一啲越野跑，結合健身室嘅上半身訓練，就係為跑步季節做嘅最好準備。,1,,
1097,550,冬天跑越野 運動場同運動場做運動 運動場做運動係最好準備,0,,
1642,823,最好搵一間經常預訂同你嘅旅程類似嘅旅行社。,1,,
1643,823,請請一個經營者去幫你 經常預訂類似你嘅旅行,1,,
1292,648,我哋永遠都唔會對部車大修，唔會喺後院起噴泉，亦唔會去秘魯遺跡考古，更唔會改造左鄰右里嘅屋。,1,,
1293,648,"我哋永遠唔會修改車,喺我哋後院水,去秘魯去睇古老嘅遺跡,或者改造鄰居嘅房子",0,,
2776,1668,喺一個機構革新之前，領導層一定要創造一種創新嘅文化，同埋分享知識、組織學習。,1,,
2777,1668,"喺組織可以創新之前,領導必須創造創新文化 以及分享知識同組織學習",1,,
938,471,呢個概念就係，所有歐洲國家都一定要設法阻止一家獨大，所以各國政府經常變換盟友，從而保持平衡。,1,,
939,471,歐洲國家必須要阻止一個國家變得強大 所以國家政府往往會改變佢哋嘅聯盟,0,,
228,114,呢次係 eBay 史上最大規模嘅收購。,1,,
229,114,呢個係 eBay 史上最大嘅收購,1,,
1328,666,雖然大家嘅遊玩方法唔同，但呢個係大多數人講緊「要去迪士尼世界」嗰時所表達嘅意思。,1,,
1329,666,"有無限嘅變化可能發生 但大部分人講""去迪士尼世界""嘅時候 都係咁",0,,
898,451,學習創作互動媒體要有常規同傳統嘅技能，以及喺互動課堂入面掌握嘅工具（分鏡板、音訊同視訊編輯、故事敍述等）。,1,,
899,451,"學習創建互動媒體需要傳統同傳統技能,以及掌握互動課程 (故事板,音頻同視頻編輯,故事說話等)",0,,
2280,1323,呢位奧運金牌得主本來應該喺英聯邦運動會參加100米同200米嘅自由泳，同埋三項接力賽，但因為佢嘅病情，令佢嘅健康狀況一直受到質疑。,1,,
2281,1323,"奧林匹克金牌贏家應喺英國聯邦大賽 100 米, 200 米自由泳體,三次連續泳,但因為他的抱怨,他的健身已經受到疑惑.",0,,
2620,1493,永續農業係指為咗生產足夠嘅糧食，滿足務農者同佢地屋企嘅需求所進行嘅農業。,1,,
2621,1493,養農業係為咗生產足夠嘅食物而做嘅農業,0,,
1104,554,產品可以按需要購買，但大多數產品對表現嘅影響好細或者根本冇實際影響。,1,,
1105,554,需要買到嘅產品 都可以買到 但大部分產品對性能有很少或者冇任何真正影響,0,,
1554,779,有啲中片幅菲林相機使用6x6厘米嘅格式，準確啲講係56x56毫米負片。,1,,
1555,779,"有啲中型影像相機用6x6cm格式,更準確地用56x56mm負",0,,
1892,948,請放心，你去到碼頭，一切都會清清楚楚。你會遇到其他搭順風船嘅人，佢哋會同你分享佢哋嘅情報。,1,,
1893,948,"當你到达海灘之後,一切都會好明顯 你會遇到其他船上乘坐車嘅人",0,,
668,336,最後，土耳其舞蹈團 Fire of Anatolia 表演咗「特洛伊」作結。,1,,
669,336,"最後,土耳其舞蹈團隊""亞拿多利亞火""演出""特洛伊""表演",0,,
2794,1677,例子包括控制、計劃同排程、回答客戶診斷同問題嘅能力，仲有手寫識別、語音同人面。,1,,
2795,1677,"譬如控制,規劃同安排, 回答客戶嘅診斷同問題的能力,以及手寫識別,聲音同臉部",1,,
2186,1276,被告姓名分別係 Baba Kanjar、Bhutha Kanjar、Rampro Kanjar、Gaza Kanjar 和 Vishnu Kanjar。,1,,
2187,1276,"被控人名為巴巴坎杰,布塔坎杰,拉普罗坎杰,加沙坎杰和维什努坎杰",0,,
700,352,表面張力之所以產生，係因為水表面嘅水分子比佢哋對上面空氣分子嘅吸引力更加大。,1,,
701,352,表面緊張係因為水表面嘅水分子 更加被彼此吸引 比空氣分子對佢哋更好,0,,
2600,1483,浪漫主義有好大嘅文化決定論因素，從歌德、費希特同施萊格爾等作家身上可以推斷出嚟。,1,,
2601,1483,"浪漫主義係文化決定主義嘅重要要素, 由 Goethe,Fichte,Schlegel 等作家所提取",1,,
2494,1430,所以，呢種格式嘅長寬比 (除以十二得到最簡單嘅整數) 就係所謂嘅 3:2。,1,,
2495,1430,"所以,呢個格式嘅相比 (將十二分為最簡單嘅整數比) 據說係 3:2",1,,
292,148,喺北岩銀行得到英國政府嘅緊急支持之後，呢間公司喺 2008 年國有化。,1,,
293,148,"2008 年,北方搖滾銀行被國有化,因為公佈公司得到英國政府的緊急支援.",0,,
1092,548,從四分一英哩跑轉為半英哩跑嘅時候，速度變得冇咁重要，耐力就絕對好有必要。,1,,
1093,548,隨著從四分之一英里跑到半英里跑嘅變化 速度變得唔重要 耐力變得非常必要,0,,
858,431,土耳其三面環海：西面係愛琴海，北面係黑海，南面係地中海。,1,,
859,431,"土耳其有三個海邊:以西處係海格海,以北處係黑海,以南處係地中海",0,,
1454,729,寶雲島係一個好受歡迎嘅一日遊或者週末短途遊打卡地，有皮划艇、遠足、商店同餐廳等。,1,,
1455,729,"波文島係一個受歡迎嘅一日遊或週末遊覽 提供渡輪,徒步旅行,商店,餐廳等",0,,
1516,760,加入噉樣一個網絡通常只需要喺網上填寫一份表格；不過某啲網絡會提供或需要額外嘅驗證。,1,,
1517,760,加入呢個網絡通常只需要填寫網上表格,0,,
666,335,土耳其天后Sezen Aksu同意大利男高音Alessandro Safina、希臘歌手Haris Alexiou同台表演。,1,,
667,335,土耳其女歌手Sezen Aksu 表演同意大利歌手Alessandro Safina同希臘歌手Haris Alexiou一齊,0,,
1494,749,坐上自己嘅車，出發去長途自駕遊，箇中嘅簡單體驗有內在嘅吸引力。,1,,
1495,749,坐自己車去做漫長嘅公路旅行 簡單性係個吸引力,0,,
2602,1484,喺浪漫主義嘅背景下，地理塑造咗個人，隨住時間嘅流逝，出現咗同地理有關嘅習俗、文化，呢啲習俗、文化同社會地位相配，勝過強加俾人嘅法律。,1,,
2603,1484,"喺浪漫主義背景下 地理塑造咗個人,隨著時間而嚟,與地形相關嘅習慣同文化出現, 而呢啲,與社會位置相符, 比隨意課定的法律好.",0,,
1856,930,雖然以遊客或者商務人士身份短期到訪某啲國家可能唔使辦簽證，不過以國際學生身份去嗰度通常需要比以普通遊客身份逗留更長嘅時間。,1,,
1857,930,"雖然你唔需要簽證去某些國家做旅遊者或者做生意 但當你去國外留學時,你通常需要留住更長時間",0,,
2734,1647,月球表面由岩石同塵埃組成。月球嘅外層被稱之為月殼。,1,,
2735,1647,"月球表面由岩石同塵埃成,月球嘅外層叫做皮質.",1,,
2722,1641,可悲嘅係，隨住新嘅書寫方法嘅出現，鉛筆嘅地位同用途都有所降低。,1,,
2723,1641,"悲哀嘅係,隨著新嘅寫法出現, 筆被推低",0,,
412,208,據報導，麥克白大街嘅一間公寓因氣體洩漏發生爆炸。,1,,
413,208,"據報,一個喺麥克貝思街上嘅公寓因氣體泄漏而爆炸",1,,
2768,1664,「隱形團隊」係每個成員都要向佢匯報嘅管理團隊。隱形團隊幫每個成員設定咗標準。,1,,
2769,1664,無形團隊係每個會員報告到嘅管理團隊.,0,,
326,165,2008 年 11 月 26 日，孟買襲擊者搭船抵達，兼且攜帶手榴彈同埋自動武器，襲擊咗幾個目標，包括人來人往嘅查卓帕帝·詩華治火車總站同埋著名嘅泰姬陵酒店。,1,,
327,165,"2008 年 11 月 26 日,孟買襲擊者通過船抵達,帶著手榴彈,自動武器,",0,,
1184,594,地球上遍佈動物。佢哋喺地下挖窿，喺海中遨遊，喺天空翱翔。,1,,
1185,594,"動物喺地球上都有,佢哋挖埋地,游喺海洋,飛喺空中",0,,
932,468,佢咁大嘅玻璃窗同咁薄嘅牆，係冇辦法長期抵御持續嘅攻擊。,1,,
933,468,佢嘅大玻璃窗同細牆 都唔會耐受一場決定嘅攻擊,0,,
186,93,噉同早前嘅報導互相矛盾，呢份報導話取消第二輪投票違反憲法。,1,,
187,93,呢個同以前嘅報告相反,0,,
284,144,噉意味住一切都要倒退，」埃塞俄比亞裂谷研究服務中心研究員、研究嘅合著者伯哈尼·阿斯福話。,1,,
285,144,"所以一切都需要放返去"" 埃塞俄比亚利夫特谷研究局研究员 Berhane Asfaw 同研究合作者",0,,
786,395,不過，由於海軍上將擔心艦艇會俾德國嘅空襲擊沉，所以好少有皇家海軍艦艇會喺機會比較大嘅入侵路線附近駐紮。,1,,
787,395,"不過,幾隻皇家海軍船都靠近可能入侵嘅航線 因為海上上將軍擔心將會被德國空襲淹沒",0,,
2364,1365,老虎嘅咆哮聲同獅子嘅大聲吼叫唔同，相反，同齜牙低吼仲似。,1,,
2365,1365,虎嘅叫唔似大聲嘅獅子叫 而係好似叫嘅句子,0,,
1480,742,雖然呢度比較細，但係令一啲年紀大嘅遊客諗起夏威夷喺成為一個州之前冇大型旅遊酒店同其他開發項目嘅情景。,1,,
1481,742,雖然小 但提醒老年人夏威夷之前 冇所有大型旅遊酒店同其他發展,0,,
2532,1449,喺呢啲時期，好多爭奪皇位嘅貴族之間都發生咗激烈嘅戰爭。,1,,
2533,1449,"哩段時間,好多貴族爭奪王位",0,,
2574,1470,呢班人強迫國王同王后將馬車嘅窗打開。,1,,
2575,1470,暴徒迫使王和女王 放開車窗,0,,
1200,602,水係另一個例子，由兩個氫原子同一個氧原子組成，屬於化合物。,1,,
1201,602,另外一個例子係水 化合物水由兩種原子同一個氧原子組成,0,,
2260,1313,佢喺醫院做嘢嗰陣，列金斯開始喺業餘時間研究早產問題。,1,,
2261,1313,當佢喺醫院工作嘅時候 Liggins 開始喺空時間 調查早產,1,,
322,163,一艘復仇者級嘅反水雷艦正喺度駛向巴拉望省嘅普林塞薩港。,1,,
323,163,"復仇者級嘅礦山反措施船, 該船正前往帕拉瓦納嘅波多普林塞薩",0,,
1550,777,多年嚟我哋用過好多唔同格式嘅菲林。標準35毫米菲林（36x24毫米負片）係最常見嘅。,1,,
1551,777,"多年來,已經用過好多唔同嘅影像格式.標準 35mm影像 (36×24mm負) 係最常見嘅.",0,,
510,257,不過，威脅級別降低到嚴重，並唔代表整體威脅已經消失。」,1,,
511,257,"但係,因為危險水平降到嚴重嘅,",0,,
2196,1281,原先，佢喺大雅茅斯嘅詹姆士·佩吉特醫院留醫。,1,,
2197,1281,佢最初喺大耶爾馬斯嘅詹姆斯佩格醫院入院,0,,
1880,942,一邊旅遊一邊做義工係一種唔錯嘅行善方式，但唔單止係付出。,1,,
1881,942,旅行時做志願者 係一個好好嘅方法 去改變生活 但唔單止係提供,0,,
176,88,當局除咗確認今日嘅拘捕行動，另外提供嘅官方資料唔多。,1,,
177,88,官員官方除咗確認今日逮捕之外 冇話得知,0,,
1082,543,格里德利或斯塔克喺圍欄前面大約100英呎（30米）嘅地方放咗一個木樁，並下令喺正規軍經過之前唔可以開火。,1,,
1083,543,格里德利或者斯塔克 放咗一個木頭 距大概30米嘅圍前 然後命令人唔好開火,0,,
2472,1419,因為日本擁有一群島嶼，所以從地理角度嚟睇，日本經常被稱為「群島」。,1,,
2473,1419,"由於日本有幾大島,日本通常被稱為""群島""",0,,
1408,706,馬丘比丘北端嘅雲端之處係呢座陡峭嘅山峰，經常係有關呢座遺跡嘅好多靚相嘅背景。,1,,
1409,706,塔塔喺馬丘比丘北端 落嘅山頂,0,,
1470,737,公園管理局（MINAE）唔會喺預計抵達日期前超過一個月簽發公園許可證。,1,,
1471,737,"公園服務 (MINAE) 預計抵達之前,唔需要超過一個月發出公園許可證.",0,,
396,200,費利西亞曾經係薩菲爾-辛普森颶風量表裡面嘅 4 級風暴，喺禮拜二消散之前減弱為熱帶低氣壓。,1,,
397,200,"Felicia,曾經係 Saffir-Simpson 風規模嘅四級風暴 弱化成熱帶風",0,,
1556,780,噉樣嘅解像度幾乎係35毫米負片嘅4倍（3136平方毫米對864平方毫米）。,1,,
1557,780,呢個數據顯示 35 mm 負 (3136 mm2 與 864) 解析度幾乎是四倍,0,,
378,191,消防隊長史葛·古恩斯話：「嗰日聖克拉拉天氣炎熱，氣溫高達華氏90幾度。」,1,,
379,191,"消防隊長 Scott Kouns 話.. ""喺聖克拉拉, 90 年代嘅溫度係炎熱嘅一日.",0,,
2788,1674,噉為我哋構建模擬模型提供咗大量資訊同材料，幫我哋了解大腦嘅運作過程。,1,,
2789,1674,呢個提供咗好多資料 嚟建立模擬模型 令我哋了解我哋嘅大腦過程,1,,
1378,691,參觀呢個景點可以順便搭船遊湖。,1,,
1379,691,參觀呢個地方可以好方便咁組合到去湖泊乘船,0,,
880,442,越南人亦都喺 18 世紀末入侵柬埔寨。,1,,
881,442,18世紀嘅最後幾年 越南人也入侵柬埔寨,0,,
636,320,由嗰陣時起，中國嘅經濟規模增長咗九十倍。,1,,
637,320,"自從嗰時起,中國嘅經濟規模 增加咗90倍",1,,
2744,1652,呢啲理論表明，人類有某啲需求同欲望，當佢哋長大成人之時就已經內化嘞。,1,,
2745,1652,"呢啲理論表明,人類有一定需要同/或欲望",0,,
1392,698,厄瓜多爾要求古巴公民收到邀請函之後先可以通過國際機場或邊境入境點入境厄瓜多爾。,1,,
1393,698,厄瓜多爾要求古巴公民喺國際機場或者邊境入境點入境之前 收到邀請書,1,,
1730,867,發展中國家旅行嘅新事物考起咗唔少經驗老到嘅旅客，好多微細嘅文化調整迅速累積起嚟會令人吃不消。,1,,
1731,867,"發展中國家嘅旅遊 已經令好多穩定,有能力嘅旅客 變得更加難過",0,,
652,328,佢喺 1945 年加入，一直效力到 1958 年。,1,,
653,328,"1945 年,佢加入咗佢哋,留喺 1958 年",0,,
26,13,拿度喺比賽入面嘅網前得分係88%，喺首個發球局贏得76分。,1,,
27,13,Nadal 喺第一場比賽中獲得 88% 純點,0,,
1138,571,當個體表現出某一特定性狀嘅多個變體嘅時候，佢哋屬於多態。,1,,
1139,571,當個體表達某個特質嘅多種變化時 佢哋係多元化,0,,
2412,1389,有時啲人會起一啲特殊嘅金字塔形狀嘅塔樓，稱之為神塔，成為神廟嘅一部分。,1,,
2413,1389,"有時特別嘅金字塔形狀塔,叫做ziggurats,",0,,
1838,921,每個街角嘅店鋪都擺滿咗一排排令人眼花繚亂嘅預繳電話卡，呢啲卡既可以用於付費電話，又可以用於普通電話。,1,,
1839,921,每個角落嘅商店都滿足咗好多預付電話卡 可以從平手電話或者平手電話中使用,0,,
902,453,互動設計要求項目嘅各個部件互相連接，但同時又可以成為一個單獨嘅實體。,1,,
903,453,"互動設計需要一個項目嘅組件相互連接,但同時係有意義",0,,
1718,861,喺國內，由於經常接觸本地嘅細菌，你好大機會已經對佢哋免疫。,1,,
1719,861,"喺屋企,因為你一直暴露喺當地細菌之下 你已經免疫佢哋",0,,
2784,1672,長期以嚟，大家都知道唔同類型嘅腦損傷、創傷、病變同腫瘤會影響行為，並導致某啲心理功能發生變化。,1,,
2785,1672,"已經知道好耐以前 腦部損傷,創傷,傷害同腫瘤嘅不同種類影響行為",0,,
2660,1609,點解交通系統會招致噉嘅投訴，點解佢哋日日都會壞？交通工程師係咪唔稱職呢？定係因為有某啲更根本嘅問題？,1,,
2661,1609,"交通系統點解會引起咁多抱怨,點解每日都失敗? 交通工程師係冇能力? 或者有啲更基本嘅問題發生緊嗎?",0,,
814,409,大多數同圖坦卡門一齊陪葬嘅物品都保存完好，包括幾千件由貴金屬同稀有寶石製成嘅手工藝品。,1,,
815,409,塔坦卡蒙埋葬嘅大部分物品 都保存得好好 包括成千上萬件由貴金属同稀有石材做成嘅文物,0,,
2298,1332,美國聯邦航空局聲稱，NextGen系統可以縮短飛機航線，每年慳幾百萬加侖嘅燃料，同埋減少碳排放。,1,,
2299,1332,NextGen係一個系統 FAA聲稱 機機可以飛短路線 節省每年幾百萬加燃料,0,,
108,54,澳洲財政部長彼得•科斯特洛，同時亦都最有可能接替總理約翰•霍華德成為自由黨黨魁，表示支持澳洲發展核電產業。,1,,
109,54,澳洲財務長 Peter Costello 兼最有可能接續 John Howard 首相 成為自由黨領袖嘅人 支持澳洲核電產業,0,,
2464,1415,意大利國家隊同德國國家隊並列世界第二，亦曾經獲得 2006 年 FIFA 世界盃冠軍。,1,,
2465,1415,"義大利國家足球,同德國國家足球隊一齊係世界上第二個最成功嘅球隊,",0,,
2068,1217,國際制裁意味住唔可以買入新嘅飛機。,1,,
2069,1217,國際制裁令新飛機買唔起,0,,
952,478,確保你隻手盡可能放鬆啲，同時仲要正確噉敲擊所有音符 - 同埋盡量唔好用手指做太多無謂嘅動作。,1,,
953,478,"確保手盡可能放鬆,同時仍然正確打所有音符 - - 也嘗試唔使用手指做太多外觀動作.",0,,
894,449,然後喺4月左右落完雨之後，經過西部重返北方，再次穿過馬拉河。,1,,
895,449,然後再返到北方 通過西邊 再一次經過馬拉河,0,,
382,193,舒麥加曾經贏得一級方程式錦標賽嘅冠軍七次，佢喺2006年退役，原定佢代替受傷嘅菲利普·馬沙出賽。,1,,
383,193,"舒馬赫喺 2006 年退休,贏得咗七次F1 冠軍, 接下來將受傷嘅菲利佩 馬薩取代.",0,,
122,61,佢喺兩個鐘嘅演講入面話：「今日，蘋果將會重新發明手機，今日，我哋將會創造歷史。」,1,,
123,61,"佢喺佢兩小時嘅演講裏面話:""今日果會重新發明手機,",0,,
130,65,抗議者希望收集120萬人簽名嘅請願書，喺11月提交畀國民議會。,1,,
131,65,抗議者希望喺11月份收到一條有120萬簽名嘅請願,0,,
1728,866,如果第一次喺發展中國家旅遊或者喺喺新發掘嘅地方旅遊，唔好低估潛在嘅文化衝擊。,1,,
1729,866,如果你第一次去一個發展中國家  或者去一個新嘅世界  唔好低估潛在嘅文化震驚,1,,
2418,1392,大部分希伯來人嘅家庭生活，都喺戶外進行。,1,,
2419,1392,希伯來人大部分生活 都喺空中發生,0,,
356,180,之後嘅證據顯示試卷曾經畀人篡改。霍爾連同其他34個教育官員喺2013年被起訴。,1,,
357,180,"2013 年,有證據表明, 霍爾同其他34 個教育官員 曾經改咗考試文件",0,,
2232,1299,據報導，大約有60宗iPod過熱故障，一共引發6場火災，4個人輕微燒傷。,1,,
2233,1299,已經有大概 60 個故障嘅iPod過熱事件報告 造成六起火災,0,,
2770,1665,點解機構願意花時間經歷建立為學習型機構？將機構學習理念付諸實踐嘅目標之一就係創新。,1,,
2771,1665,點解組織要通過建立學習組織嘅耗時過程? 組織學習概念實踐嘅一個目標係創新.,0,,
418,211,雖然冇重大傷亡報告，但係爆炸現場至少有 5 個人因為受驚而接受治療。,1,,
419,211,冇報告有嚴重傷害 但爆炸發生時 至少有五個人因震驚症而接受治療,1,,
