id,source_id,sentence1,sentence2,label,human_label,notes
741,743,科克島島冇城市但由15個唔同島組成。其中主要係拉羅東加同愛圖塔基,雖然庫克群島冇任何城市，但係由15個唔同嘅島嶼組成。主要嘅島嶼有拉羅湯加同艾圖塔基,2,,
788,790,佢哋將佢哋嘅故鄉嘅故事傳達到唔同嘅口音同當地語法,佢哋用獨特嘅口音同當地嘅黑話講家鄉故事，互相分享,2,,
859,861,喺屋企，因為你一直暴露喺當地細菌之下你已經免疫佢哋,喺國內，由於經常接觸本地嘅細菌，你好大機會已經對佢哋免疫,2,,
1368,1648,月殼正面大約70公里厚，背面大約100公里厚,皮質嘅厚度係近面約 70 公里，對面係 100 公里,1,,
440,442,18世紀嘅最後幾年越南人也入侵柬埔寨,越南人亦都喺 18 世紀末入侵柬埔寨,2,,
1388,1668,喺一個機構革新之前，領導層一定要創造一種創新嘅文化，同埋分享知識、組織學習,喺組織可以創新之前，領導必須創造創新文化以及分享知識同組織學習,1,,
114,114,呢個係 eBay 史上最大嘅收購,呢次係 eBay 史上最大規模嘅收購,2,,
206,208,據報導，麥克白大街嘅一間公寓因氣體洩漏發生爆炸,據報，一個喺麥克貝思街上嘅公寓因氣體泄漏而爆炸,1,,
234,236,「佢會好似水咁樣運轉，就好似水一樣透明,佢會好似水咁行事佢就好似水咁透明,1,,
457,459,當嘗試將電影轉換為DVD格式時最常見嘅問題之一係過掃描,喺嘗試將電影轉成 DVD 格式嗰陣，其中最常見嘅問題就係過度掃描,2,,
93,93,噉同早前嘅報導互相矛盾，呢份報導話取消第二輪投票違反憲法,呢個同以前嘅報告相反,1,,
285,287,紐南威爾士州RSPCA 主監 David O'Shannessy 對ABC講監控同檢查屠宰場喺澳洲應該係常見嘅,新南威爾士州 RSPCA 首席督察大衛·奧沙納西向美國廣播公司表示，監督同檢查屠宰場喺澳洲應該要普及,2,,
1182,1365,老虎嘅咆哮聲同獅子嘅大聲吼叫唔同，相反，同齜牙低吼仲似,虎嘅叫唔似大聲嘅獅子叫而係好似叫嘅句子,1,,
1389,1669,Angel (2006) 解釋 Continuum 方法係一種方法，可以幫助組織達到更高嘅表現水平,安琪 (2006)解釋，連續法係一種用嚟幫助機構達到更高績效水平嘅方法,2,,
1206,1389,有時啲人會起一啲特殊嘅金字塔形狀嘅塔樓，稱之為神塔，成為神廟嘅一部分,有時特別嘅金字塔形狀塔，叫做ziggurats,1,,
466,468,佢咁大嘅玻璃窗同咁薄嘅牆，係冇辦法長期抵御持續嘅攻擊,佢嘅大玻璃窗同細牆都唔會耐受一場決定嘅攻擊,1,,
135,137,魚類經常因為水入面嘅毒素濃度太高而死亡,魚經常因為毒素濃度高而死亡,1,,
1130,1313,當佢喺醫院工作嘅時候 Liggins 開始喺空時間調查早產,佢喺醫院做嘢嗰陣，列金斯開始喺業餘時間研究早產問題,2,,
758,760,加入噉樣一個網絡通常只需要喺網上填寫一份表格；不過某啲網絡會提供或需要額外嘅驗證,加入呢個網絡通常只需要填寫網上表格,1,,
1372,1652,呢啲理論表明，人類有某啲需求同欲望，當佢哋長大成人之時就已經內化嘞,呢啲理論表明，人類有一定需要同/或欲望,1,,
563,565,嗰啲參加定期活動嘅人喺對病痛嘅負面感知方面需要多啲支持，先可以分辨到慢性病痛、不適感同正常身體運動嘅差別,參與經常活動嘅人需要更多嘅支持嚟睇下慢性疼痛同不舒服感同正常運動嘅差異,1,,
178,180,之後嘅證據顯示試卷曾經畀人篡改。霍爾連同其他34個教育官員喺2013年被起訴,2013 年，有證據表明， 霍爾同其他34 個教育官員曾經改咗考試文件,1,,
778,780,噉樣嘅解像度幾乎係35毫米負片嘅4倍（3136平方毫米對864平方毫米）,呢個數據顯示 35 mm 負 (3136 mm2 與 864) 解析度幾乎是四倍,1,,
65,65,抗議者希望喺11月份收到一條有120萬簽名嘅請願,抗議者希望收集120萬人簽名嘅請願書，喺11月提交畀國民議會,2,,
1247,1430,所以，呢個格式嘅相比 (將十二分為最簡單嘅整數比) 據說係 3:2,所以，呢種格式嘅長寬比 (除以十二得到最簡單嘅整數) 就係所謂嘅 3:2,2,,
1010,1012,美國體操支持一個獨立嘅調查能夠揭示拉里·納薩嘅幸存者勇敢咁描述嘅比例嘅濫用點樣長時間未被發現,美國體操協會支持獨立調查，呢項調查可能會揭露拉利·纳沙嘅倖存者幾咁勇敢講述有幾大比例嘅虐待長期都未畀人發現，協會亦歡迎任何必要和適當嘅改變,2,,
592,594,地球上遍佈動物。佢哋喺地下挖窿，喺海中遨遊，喺天空翱翔,動物喺地球上都有，佢哋挖埋地，游喺海洋，飛喺空中,1,,
704,706,馬丘比丘北端嘅雲端之處係呢座陡峭嘅山峰，經常係有關呢座遺跡嘅好多靚相嘅背景,塔塔喺馬丘比丘北端落嘅山頂,1,,
209,211,冇報告有嚴重傷害但爆炸發生時至少有五個人因震驚症而接受治療,雖然冇重大傷亡報告，但係爆炸現場至少有 5 個人因為受驚而接受治療,2,,
569,571,當個體表達某個特質嘅多種變化時佢哋係多元化,當個體表現出某一特定性狀嘅多個變體嘅時候，佢哋屬於多態,2,,
877,879,好多政府要求嚟入或者離開國家嘅旅客接种疫苗,好多國家政府要求入境旅客或離境國民接種針對一系列疾病疫苗,2,,
1220,1403,D-Day嘅降落同接落嚟嘅戰爭解放咗法國北部但南部仍然冇自由,諾曼第登陸戰同之後嘅戰役，解放咗法國北部，不過法國南部仲未解放,2,,
664,666,"有無限嘅變化可能發生但大部分人講""去迪士尼世界""嘅時候都係咁",雖然大家嘅遊玩方法唔同，但呢個係大多數人講緊「要去迪士尼世界」嗰時所表達嘅意思,2,,
451,453,互動設計需要一個項目嘅組件相互連接，但同時係有意義,互動設計要求項目嘅各個部件互相連接，但同時又可以成為一個單獨嘅實體,2,,
449,451,學習創建互動媒體需要傳統同傳統技能，以及掌握互動課程 (故事板，音頻同視頻編輯，故事說話等),學習創作互動媒體要有常規同傳統嘅技能，以及喺互動課堂入面掌握嘅工具（分鏡板、音訊同視訊編輯、故事敍述等）,2,,
191,193,舒麥加曾經贏得一級方程式錦標賽嘅冠軍七次，佢喺2006年退役，原定佢代替受傷嘅菲利普·馬沙出賽,舒馬赫喺 2006 年退休，贏得咗七次F1 冠軍， 接下來將受傷嘅菲利佩馬薩取代,1,,
1236,1419,因為日本擁有一群島嶼，所以從地理角度嚟睇，日本經常被稱為「群島」,"由於日本有幾大島，日本通常被稱為""群島""",1,,
435,437,相傳扎卜德龍·恩加旺·南蓋爾喺 1649 年建造咗呢個堡壘，嚟到紀念佢打敗西藏蒙古聯軍,據說 1649 年，Zhabdrung Ngawang Namgyel 建立咗呢個堡垒,1,,
228,230,據稱，呢個男人揸著部裝滿炸藥嘅三輪車撞向人群,佢據稱駕駛一輛裝爆炸物嘅三輪車撞到一個人群,1,,
541,543,格里德利或者斯塔克放咗一個木頭距大概30米嘅圍前然後命令人唔好開火,格里德利或斯塔克喺圍欄前面大約100英呎（30米）嘅地方放咗一個木樁，並下令喺正規軍經過之前唔可以開火,2,,
646,648,我哋永遠唔會修改車，喺我哋後院水，去秘魯去睇古老嘅遺跡，或者改造鄰居嘅房子,我哋永遠都唔會對部車大修，唔會喺後院起噴泉，亦唔會去秘魯遺跡考古，更唔會改造左鄰右里嘅屋,2,,
928,930,雖然你唔需要簽證去某些國家做旅遊者或者做生意但當你去國外留學時，你通常需要留住更長時間,雖然以遊客或者商務人士身份短期到訪某啲國家可能唔使辦簽證，不過以國際學生身份去嗰度通常需要比以普通遊客身份逗留更長嘅時間,2,,
1394,1674,呢個提供咗好多資料嚟建立模擬模型令我哋了解我哋嘅大腦過程,噉為我哋構建模擬模型提供咗大量資訊同材料，幫我哋了解大腦嘅運作過程,2,,
334,336,"最後，土耳其舞蹈團隊""亞拿多利亞火""演出""特洛伊""表演",最後，土耳其舞蹈團 Fire of Anatolia 表演咗「特洛伊」作結,2,,
1093,1276,被告姓名分別係 Baba Kanjar、Bhutha Kanjar、Rampro Kanjar、Gaza Kanjar 和 Vishnu Kanjar,被控人名為巴巴坎杰，布塔坎杰，拉普罗坎杰，加沙坎杰和维什努坎杰,1,,
1161,1344,氫離子係電子被剝離嘅質子（因為氫原子由一個質子同一個電子組成）,離子係被取消電子嘅陽子 (因為原子由一個陽子同一個電子組成),1,,
96,96,伊-76 自 1970 年代開始成為俄羅斯同蘇聯軍隊嘅重要部份,自上世紀 70 年代以嚟，伊爾-76 一直係俄羅斯同蘇聯軍隊嘅主力，上個月喺俄羅斯已經發生咗一宗嚴重事故,2,,
292,294,當船崩潰時， 魯諾有120~160立方米嘅燃料,「魯諾」號發生故障嗰陣，船上有120至160立方米嘅燃料，強風巨浪將佢推入防波堤,2,,
